sp;long;lat
Akodon_cursor;-48.91666667;-25.75
Akodon_cursor;-48.4142;-25.3483
Akodon_cursor;-48.3208;-25.3467
Akodon_cursor;-47.96667;-25.13333
Akodon_cursor;-47.99107;-24.6731
Akodon_cursor;-48.4166667;-24.3333333
Akodon_cursor;-48.833333;-24.2166667
Akodon_cursor;-45.9;-23.65
Akodon_cursor;-45.1166667;-23.4166667
Akodon_cursor;-51.1628;-23.3103
Akodon_cursor;-51.481;-23.2692
Akodon_cursor;-46.924444;-23.231944
Akodon_cursor;-47.6;-22.9
Akodon_cursor;-42.3917;-22.6508
Akodon_cursor;-44.65;-22.574722
Akodon_cursor;-44.334444;-22.466667
Akodon_cursor;-48.603027;-22.410202
Akodon_cursor;-44.93333333;-22.38333333
Akodon_cursor;-48.75;-22.16667
Akodon_cursor;-44.6031;-21.9756
Akodon_cursor;-46.5614;-21.7878
Akodon_cursor;-48.99722;-21.72
Akodon_cursor;-41.71917;-21.425
Akodon_cursor;-41.25411;-21.1311
Akodon_cursor;-45.2772;-20.8972
Akodon_cursor;-40.511;-20.658
Akodon_cursor;-40.91666667;-20.63333333
Akodon_cursor;-42.7136;-20.5972
Akodon_cursor;-42.33;-20.5206
Akodon_cursor;-41.83444;-20.518861
Akodon_cursor;-41.838947;-20.5166725
Akodon_cursor;-41.838938;-20.5166716
Akodon_cursor;-41.838932;-20.516671
Akodon_cursor;-41.838931;-20.5166709
Akodon_cursor;-41.838926;-20.5166704
Akodon_cursor;-41.838924;-20.5166702
Akodon_cursor;-41.838923;-20.5166701
Akodon_cursor;-41.838889;-20.5166667
Akodon_cursor;-41.838888;-20.5166666
Akodon_cursor;-43.8578;-20.4997
Akodon_cursor;-41.70305556;-20.49722222
Akodon_cursor;-40.96666667;-20.4
Akodon_cursor;-41.1667;-20.4
Akodon_cursor;-41.73166667;-20.39638889
Akodon_cursor;-40.4961;-20.3903
Akodon_cursor;-40.43861111;-20.38888889
Akodon_cursor;-40.46138889;-20.38888889
Akodon_cursor;-40.45805556;-20.37888889
