sp;long;lat
Akodon_cursor;-438.578;-204.997
Akodon_cursor;-44.065;-22.574.722
Akodon_cursor;-47.06;-22.9
Akodon_cursor;-511.628;-233.103
Akodon_cursor;-44.334.444;-22.466.667
Akodon_cursor;-46.924.444;-23.231.944
Akodon_cursor;-385.108;-129.711
Akodon_cursor;-510.481;-232.692
Akodon_cursor;-4.053.944.444;-19.965
Akodon_cursor;-48.75;-2.216.667
Akodon_cursor;-4.081.388.889;-1.887.472.222
Akodon_cursor;-4.045.833.333;-2.037.694.444
Akodon_cursor;-484.166.667;-243.333.333
Akodon_cursor;-410.838.932;-20.516.671
Akodon_cursor;-410.838.931;-205.166.709
Akodon_cursor;-4.078.611.111;-1.887.472.222
Akodon_cursor;-41.083.444;-20.518.861
Akodon_cursor;-4.047.278;-2.035.917
Akodon_cursor;-465.614;-217.878
Akodon_cursor;-438.467;-199.856
Akodon_cursor;-4.170.305.556;-2.049.722.222
Akodon_cursor;-42.65;-197.166.667
Akodon_cursor;-4.043.861.111;-2.038.888.889
Akodon_cursor;-4.096.666.667;-20.4
Akodon_cursor;-4.101.667;-20.4
Akodon_cursor;-40.072.222;-19.391.111
Akodon_cursor;-39;-15.35
Akodon_cursor;-40.307.778;-20.128.611
Akodon_cursor;-427.666.667;-171.333.333
Akodon_cursor;-412.613.889;-128.016.667
Akodon_cursor;-4.052.722.222;-19.965
Akodon_cursor;-4.044.166.667;-2.037.694.444
Akodon_cursor;-451.166.667;-234.166.667
Akodon_cursor;-4.046.055.556;-2.035.916.667
Akodon_cursor;-40.600.278;-19.935.556
Akodon_cursor;-4.045.805.556;-2.037.888.889
Akodon_cursor;-4.052.194.444;-2.028.111.111
Akodon_cursor;-40.533.333;-19.865.556
Akodon_cursor;-42.65;-1.971.666.667
Akodon_cursor;-48.603.027;-22.410.202
Akodon_cursor;-4.051.138.889;-2.028.111.111
Akodon_cursor;-4.091.666.667;-2.063.333.333
Akodon_cursor;-40.511;-20.658
Akodon_cursor;-404.961;-203.903
Akodon_cursor;-4.173.166.667;-2.039.638.889
Akodon_cursor;-410.838.938;-205.166.716
Akodon_cursor;-4.046.138.889;-2.038.888.889
Akodon_cursor;-40.54;-19.965
Akodon_cursor;-436.003;-182.494
Akodon_cursor;-428.897;-165.594
Akodon_cursor;-410.838.888;-205.166.666
Akodon_cursor;-432.269;-196.192
Akodon_cursor;-452.772;-208.972
Akodon_cursor;-48.099.722;-21.72
Akodon_cursor;-4.799.107;-2.406.731
Akodon_cursor;-4.796.667;-2.513.333
Akodon_cursor;-410.838.924;-205.166.702
Akodon_cursor;-424.775;-203.011
Akodon_cursor;-410.838.889;-205.166.667
Akodon_cursor;-484.142;-253.483
Akodon_cursor;-51.076.417;-18.784.611
Akodon_cursor;-403.378;-203.194
Akodon_cursor;-403.078;-201.286
Akodon_cursor;-4.891.666.667;-25.75
Akodon_cursor;-45.9;-23.65
Akodon_cursor;-410.838.947;-205.166.725
Akodon_cursor;-437.144;-191.689
Akodon_cursor;-394.958;-154.192
Akodon_cursor;-408.556;-198.019
Akodon_cursor;-439.378;-199.208
Akodon_cursor;-42;-2.013.333.333
Akodon_cursor;-43.13;-19.811.944
Akodon_cursor;-397.339;-141.372
Akodon_cursor;-43.425;-190.372
Akodon_cursor;-40.52;-19.96
Akodon_cursor;-489.158;-149.708
Akodon_cursor;-4.171.917;-210.425
Akodon_cursor;-3.907.611.111;-1.525.166.667
Akodon_cursor;-4.125.411;-2.101.311
Akodon_cursor;-4.077.557;-1.979.918
Akodon_cursor;-446.031;-219.756
Akodon_cursor;-4.493.333.333;-2.238.333.333
Akodon_cursor;-4.126.138.889;-1.280.166.667
Akodon_cursor;-480.833.333;-242.166.667
Akodon_cursor;-410.639;-194.958
Akodon_cursor;-410.838.923;-205.166.701
Akodon_cursor;-410.838.926;-205.166.704
